xample/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.761299Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.761308Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.761545Z  INFO scheduler::ingest: Received ingest: UPDATE job:5d033aa1399e4a0e8cbe4abfc94e5de3 on job
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.761573Z  INFO scheduler::ingest: Broadcasting to 3 ready SSPs
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.761576Z DEBUG scheduler::transport: POST /ingest -> http://ssp-1:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:03.761621Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.763557Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:03.763403Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:03.763504Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:03.763879Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.764925Z DEBUG scheduler::transport: POST /ingest -> http://ssp-2:8667/ingest
example/schema dev:example: ssp-1-1             | 2026-02-28T00:18:03.764822Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:03.802572Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:03.802767Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp_server: Processing edge operations created=0 updated=3 deleted=0 views=1
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.802859Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.803573Z  INFO scheduler::ingest: Ingest processed successfully seq=17
example/schema dev:example: ssp-2-1             | 2026-02-28T00:18:03.804292Z DEBUG ingest_handler{payload_size_bytes=462 table="job" op="UPDATE" id="job:5d033aa1399e4a0e8cbe4abfc94e5de3" views_affected=1 edges_updated=1}:update_all_edges{total_operations=3}: ssp::edges: Edge update transaction completed successfully operations=3
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.804444Z DEBUG scheduler::transport: POST /ingest -> http://ssp-3:8667/ingest
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:03.804775Z  INFO scheduler::ingest: Ingest processed successfully seq=18
example/api dev:example: <-- POST /spookify
example/api dev:example: <-- POST /spookify
example/schema dev:example: scheduler-1         | 2026-02-28T00:18:05.982345Z  INFO scheduler::ingest: Received ingest: UPDATE thread:1d8464e302c94600981f547b97d70438 on thread
